Date,Product_Category,Price,Discount,Customer_Segment,Marketing_Spend,Units_Sold,Data_Type
2023-04-06,Home Decor,857.14,20.07,Regular,919.09,31,Old
2023-04-07,Toys,831.92,40.0,Regular,4896.93,27,Old
2023-04-08,Fashion,403.21,10.2,Premium,3093.95,31,Old
2023-04-09,Fashion,671.4,27.75,Premium,5677.74,28,Old
2023-04-10,Electronics,212.93,36.65,Regular,8057.67,37,Old
2023-04-11,Sports,300.22,30.8,Regular,1457.77,32,Old
2023-04-12,Electronics,897.37,9.4,Regular,5848.92,18,Old
2023-04-13,Sports,22.87,17.77,Regular,5104.54,28,Old
2023-04-14,Fashion,94.65,39.19,Occasional,1526.38,35,Old
2023-04-15,Electronics,215.81,27.71,Occasional,6277.59,35,Old
2023-04-16,Toys,36.27,0.26,Regular,2809.04,18,Old
2023-04-17,Home Decor,189.62,38.05,Occasional,4929.56,31,Old
2023-04-18,Sports,587.21,1.77,Premium,914.5,24,Old
2023-04-19,Home Decor,427.21,37.29,Occasional,4649.88,36,Old
2023-04-20,Home Decor,893.74,10.12,Occasional,3133.99,22,Old
2023-04-21,Electronics,819.27,47.9,Regular,8241.57,29,Old
2023-04-22,Home Decor,348.4,18.4,Occasional,664.09,30,Old
2023-04-23,Toys,266.83,16.35,Occasional,4244.21,23,Old
2023-04-24,Home Decor,385.9,7.44,Occasional,4638.47,22,Old
2023-04-25,Electronics,594.39,15.28,Occasional,7277.56,39,Old
2023-04-26,Toys,275.38,43.83,Premium,5785.45,19,Old
2023-04-27,Fashion,627.91,49.82,Regular,6705.4,28,Old
2023-04-28,Home Decor,415.32,18.42,Regular,7792.79,40,Old
2023-04-29,Electronics,556.53,22.43,Premium,8635.81,24,Old
2023-04-30,Fashion,441.77,36.1,Occasional,3207.37,24,Old
2023-05-01,Fashion,301.52,44.31,Premium,5426.42,33,Old
2023-05-02,Sports,948.97,29.65,Occasional,8417.07,29,Old
2023-05-03,Toys,765.97,19.58,Premium,9895.57,30,Old
2023-05-04,Home Decor,148.71,20.63,Regular,8906.24,37,Old
2023-05-05,Electronics,869.78,34.78,Regular,3777.53,37,Old
2023-05-06,Sports,492.56,0.16,Regular,2032.15,22,Old
2023-05-07,Toys,895.61,30.98,Occasional,4944.99,24,Old
2023-05-08,Sports,801.86,17.77,Occasional,7442.25,19,Old
2023-05-09,Toys,430.96,39.71,Premium,4976.43,22,Old
2023-05-10,Toys,32.24,4.65,Premium,4883.49,46,Old
2023-05-11,Home Decor,275.99,29.41,Regular,8398.48,34,Old
2023-05-12,Toys,546.22,24.05,Occasional,3677.9,30,Old
2023-05-13,Sports,637.14,32.12,Premium,8611.97,33,Old
2023-05-14,Toys,265.31,3.24,Occasional,4127.37,13,Old
2023-05-15,Home Decor,147.96,29.0,Occasional,3349.51,31,Old
2023-05-16,Home Decor,836.58,28.07,Regular,4594.5,31,Old
2023-05-17,Sports,984.56,28.03,Regular,7648.22,47,Old
2023-05-18,Fashion,530.43,30.17,Occasional,1347.42,22,Old
2023-05-19,Fashion,179.96,33.82,Occasional,2044.55,50,Old
2023-05-20,Toys,279.58,40.25,Occasional,9519.3,24,Old
2023-05-21,Electronics,28.21,13.49,Occasional,1837.37,32,Old
2023-05-22,Toys,915.16,41.25,Regular,5720.5,35,Old
2023-05-23,Sports,126.57,24.91,Premium,5835.21,35,Old
2023-05-24,Sports,580.75,3.85,Regular,4947.28,31,Old
2023-05-25,Sports,281.31,2.93,Premium,6482.98,34,Old
2023-05-26,Sports,558.64,16.71,Occasional,2375.28,22,Old
2023-05-27,Sports,654.91,39.24,Premium,5571.36,38,Old
2023-05-28,Home Decor,831.44,35.38,Regular,3784.52,29,Old
2023-05-29,Fashion,214.36,39.43,Regular,6650.51,41,Old
2023-05-30,Sports,20.89,25.86,Occasional,1498.11,24,Old
2023-05-31,Electronics,145.52,22.01,Regular,5751.69,36,Old
2023-06-01,Electronics,901.02,7.37,Occasional,1934.18,29,Old
2023-06-02,Electronics,875.15,16.41,Regular,2858.57,22,Old
2023-06-03,Electronics,601.44,21.7,Regular,2265.23,25,Old
2023-06-04,Home Decor,604.51,4.43,Occasional,1910.09,28,Old
2023-06-05,Electronics,668.39,11.03,Premium,8274.54,34,Old
2023-06-06,Sports,183.62,29.91,Regular,2928.5,17,Old
2023-06-07,Toys,915.27,36.78,Premium,9278.53,21,Old
2023-06-08,Electronics,424.58,49.92,Regular,9702.27,27,Old
2023-06-09,Home Decor,389.31,46.66,Regular,5755.48,38,Old
2023-06-10,Home Decor,523.73,32.13,Regular,1515.71,26,Old
2023-06-11,Electronics,56.5,21.06,Regular,3808.03,23,Old
2023-06-12,Toys,174.62,31.81,Premium,7997.55,23,Old
2023-06-13,Electronics,740.65,39.28,Premium,3737.17,24,Old
2023-06-14,Home Decor,91.97,5.92,Regular,961.47,28,Old
2023-06-15,Fashion,607.12,20.5,Regular,5612.17,18,Old
2023-06-16,Sports,252.9,41.99,Premium,8466.7,42,Old
2023-06-17,Home Decor,395.4,19.19,Occasional,7979.67,45,Old
2023-06-18,Electronics,295.81,28.59,Occasional,1833.72,23,Old
2023-06-19,Sports,362.12,29.39,Premium,6760.37,38,Old
2023-06-20,Electronics,721.86,9.22,Regular,2282.99,22,Old
2023-06-21,Electronics,304.15,18.11,Regular,2260.25,43,Old
2023-06-22,Fashion,570.74,16.73,Occasional,8753.31,33,Old
2023-06-23,Sports,481.29,1.31,Occasional,2571.72,24,Old
2023-06-24,Sports,667.03,1.21,Premium,2706.15,25,Old
2023-06-25,Fashion,937.46,41.58,Occasional,106.47,37,Old
2023-06-26,Home Decor,735.25,13.65,Premium,8719.62,37,Old
2023-06-27,Electronics,222.79,25.9,Occasional,7946.69,31,Old
2023-06-28,Toys,40.87,14.94,Occasional,6310.56,23,Old
2023-06-29,Electronics,269.64,47.03,Occasional,7527.63,34,Old
2023-06-30,Electronics,599.13,12.96,Regular,1605.28,38,Old
2023-07-01,Home Decor,60.91,21.48,Regular,4637.4,34,Old
2023-07-02,Electronics,501.4,43.64,Regular,3577.07,18,Old
2023-07-03,Fashion,600.87,42.1,Occasional,1028.39,24,Old
2023-07-04,Fashion,340.9,9.31,Premium,4912.69,29,Old
2023-07-05,Sports,773.2,40.13,Premium,9215.32,38,Old
2023-07-06,Toys,115.53,22.91,Premium,496.59,38,Old
2023-07-07,Electronics,84.39,24.15,Premium,2985.46,24,Old
2023-07-08,Electronics,730.91,6.67,Regular,2154.66,25,Old
2023-07-09,Home Decor,500.54,4.03,Regular,2457.65,34,Old
2023-07-10,Fashion,691.52,36.4,Occasional,9093.5,31,Old
2023-07-11,Toys,440.48,24.82,Occasional,4733.88,18,Old
2023-07-12,Sports,253.94,21.84,Premium,4716.36,39,Old
2023-07-13,Fashion,820.91,36.48,Regular,7629.7,26,Old
2023-07-14,Sports,801.42,38.28,Premium,1629.47,38,Old
2023-07-15,Home Decor,697.75,7.95,Occasional,4923.93,38,Old
2023-07-16,Home Decor,279.42,30.51,Occasional,4356.85,26,Old
2023-07-17,Electronics,594.33,6.77,Premium,6009.42,20,Old
2023-07-18,Toys,367.36,37.57,Occasional,9995.62,38,Old
2023-07-19,Sports,100.67,32.85,Premium,7717.54,33,Old
2023-07-20,Fashion,918.14,47.83,Regular,4038.87,24,Old
2023-07-21,Home Decor,145.45,3.45,Premium,8292.78,31,Old
2023-07-22,Electronics,950.73,2.85,Regular,1790.01,32,Old
2023-07-23,Electronics,451.55,14.11,Regular,401.59,24,Old
2023-07-24,Sports,193.28,13.09,Occasional,2124.04,28,Old
2023-07-25,Home Decor,546.48,12.35,Occasional,3470.07,41,Old
2023-07-26,Toys,874.22,45.31,Occasional,5154.75,43,Old
2023-07-27,Home Decor,734.9,12.48,Premium,6189.78,34,Old
2023-07-28,Sports,808.5,13.6,Premium,9115.0,18,Old
2023-07-29,Sports,662.2,37.97,Occasional,5147.55,27,Old
2023-07-30,Home Decor,695.35,22.49,Premium,5062.63,37,Old
2023-07-31,Sports,850.7,38.84,Occasional,597.41,33,Old
2023-08-01,Home Decor,257.17,3.27,Premium,445.62,41,Old
2023-08-02,Fashion,494.53,24.38,Regular,5556.48,30,Old
2023-08-03,Home Decor,229.0,1.68,Regular,4437.97,35,Old
2023-08-04,Home Decor,987.79,3.13,Occasional,8407.89,27,Old
2023-08-05,Sports,944.62,45.32,Premium,1690.73,39,Old
2023-08-06,Sports,49.03,6.96,Premium,347.22,33,Old
2023-08-07,Electronics,708.52,26.62,Regular,4545.48,33,Old
2023-08-08,Electronics,926.0,20.55,Regular,2451.04,29,Old
2023-08-09,Fashion,188.77,17.37,Occasional,591.18,24,Old
2023-08-10,Electronics,572.27,44.99,Regular,7273.52,29,Old
2023-08-11,Home Decor,916.33,1.09,Occasional,1204.77,29,Old
2023-08-12,Sports,43.61,33.19,Regular,6122.36,34,Old
2023-08-13,Electronics,700.45,48.17,Regular,2882.39,30,Old
2023-08-14,Electronics,304.38,28.01,Premium,1817.61,34,Old
2023-08-15,Fashion,925.15,46.84,Regular,3859.54,38,Old
2023-08-16,Fashion,971.35,2.61,Regular,8034.31,33,Old
2023-08-17,Home Decor,944.82,20.94,Occasional,3981.73,23,Old
2023-08-18,Sports,479.47,13.01,Regular,7532.62,29,Old
2023-08-19,Fashion,863.42,36.54,Occasional,1342.31,34,Old
2023-08-20,Electronics,846.1,49.06,Regular,7750.44,23,Old
2023-08-21,Sports,325.91,12.83,Regular,2445.64,44,Old
2023-08-22,Sports,830.63,32.71,Occasional,6806.19,23,Old
2023-08-23,Electronics,46.64,9.9,Premium,5701.24,38,Old
2023-08-24,Fashion,600.31,28.27,Occasional,9298.53,37,Old
2023-08-25,Electronics,237.71,23.2,Occasional,3934.49,17,Old
2023-08-26,Sports,129.36,48.6,Occasional,755.04,26,Old
2023-08-27,Toys,86.18,30.43,Premium,289.64,37,Old
2023-08-28,Toys,699.33,17.48,Regular,8285.9,21,Old
2023-08-29,Home Decor,346.48,5.7,Occasional,5294.88,29,Old
2023-08-30,Electronics,727.52,7.56,Occasional,7774.92,26,Old
2023-08-31,Electronics,74.7,11.27,Premium,2420.81,29,Old
2023-09-01,Home Decor,322.14,12.55,Occasional,3516.33,33,Old
2023-09-02,Home Decor,544.1,42.53,Regular,398.03,29,Old
2023-09-03,Home Decor,792.82,28.06,Premium,9618.77,31,Old
2023-09-04,Sports,325.56,26.17,Regular,6711.89,30,Old
2023-09-05,Electronics,629.63,5.74,Regular,9338.73,35,Old
2023-09-06,Sports,887.12,43.01,Premium,2728.41,23,Old
2023-09-07,Home Decor,619.7,36.14,Occasional,6153.49,30,Old
2023-09-08,Electronics,240.63,3.38,Regular,6817.15,41,Old
2023-09-09,Sports,34.16,35.39,Regular,3243.74,19,Old
2023-09-10,Sports,871.4,27.18,Regular,8496.28,30,Old
2023-09-11,Home Decor,31.06,4.09,Regular,9476.9,29,Old
2023-09-12,Electronics,875.95,22.92,Premium,8860.07,40,Old
2023-09-13,Home Decor,533.65,24.23,Premium,7416.76,30,Old
2023-09-14,Electronics,939.68,8.29,Regular,2846.9,27,Old
2023-09-15,Toys,800.8,47.28,Occasional,2888.0,23,Old
2023-09-16,Fashion,997.95,42.5,Regular,9637.27,35,Old
2023-09-17,Fashion,357.2,33.45,Occasional,201.82,35,Old
2023-09-18,Fashion,769.52,23.11,Regular,7188.89,35,Old
2023-09-19,Home Decor,407.91,20.59,Occasional,7091.84,5,Old
2023-09-20,Toys,485.08,32.55,Regular,6264.63,27,Old
2023-09-21,Electronics,631.23,27.27,Occasional,9902.08,28,Old
2023-09-22,Sports,874.94,3.11,Regular,3187.61,14,Old
2023-09-23,Electronics,984.24,25.63,Regular,3465.72,22,Old
2023-09-24,Sports,770.59,40.32,Occasional,881.5,22,Old
2023-09-25,Electronics,423.59,22.96,Premium,4483.7,31,Old
2023-09-26,Toys,427.14,2.6,Occasional,2684.38,26,Old
2023-09-27,Sports,740.21,39.31,Premium,3499.53,26,Old
2023-09-28,Home Decor,246.39,10.07,Regular,8362.26,25,Old
2023-09-29,Electronics,119.37,12.93,Occasional,9361.3,19,Old
2023-09-30,Electronics,361.08,8.24,Occasional,1938.76,14,Old
2023-10-01,Sports,294.37,16.51,Occasional,3787.84,31,Old
2023-10-02,Home Decor,303.35,37.84,Premium,9293.44,32,Old
2023-10-03,Home Decor,241.27,25.97,Premium,711.9,39,Old
2023-10-04,Toys,51.67,10.24,Regular,1014.37,28,Old
2023-10-05,Home Decor,27.7,43.89,Premium,1711.63,23,Old
2023-10-06,Home Decor,987.85,43.98,Premium,5992.61,35,Old
2023-10-07,Home Decor,433.5,43.53,Regular,1589.68,30,Old
2023-10-08,Fashion,390.48,11.94,Occasional,9683.96,37,Old
2023-10-09,Toys,682.85,22.56,Occasional,4522.47,36,Old
2023-10-10,Electronics,226.07,49.25,Regular,5065.03,38,Old
2023-10-11,Sports,950.46,38.6,Occasional,2541.92,30,Old
2023-10-12,Electronics,788.48,1.36,Premium,4762.51,26,Old
2023-10-13,Toys,98.52,3.26,Regular,6652.94,19,Old
2023-10-14,Sports,423.4,23.2,Regular,7536.65,43,Old
2023-10-15,Toys,880.33,45.46,Regular,7563.29,22,Old
2023-10-16,Home Decor,945.28,26.94,Occasional,5821.12,35,Old
2023-10-17,Sports,472.73,24.89,Regular,9053.16,37,Old
2023-10-18,Home Decor,617.28,5.27,Regular,8192.34,36,Old
2023-10-19,Electronics,175.36,32.84,Regular,7594.78,23,Old
2023-10-20,Electronics,991.26,41.11,Occasional,650.49,15,Old
2023-10-21,Sports,239.35,19.02,Premium,168.09,36,Old
2023-10-22,Sports,943.3,38.78,Regular,2203.23,38,Old
2023-10-23,Toys,653.15,48.22,Premium,6668.88,32,Old
2023-10-24,Toys,611.66,10.19,Occasional,4170.86,26,Old
2023-10-25,Home Decor,517.56,26.17,Occasional,4083.82,33,Old
2023-10-26,Sports,238.36,14.36,Occasional,8857.41,29,Old
2023-10-27,Electronics,184.76,39.64,Occasional,8966.07,34,Old
2023-10-28,Toys,228.28,28.88,Premium,9100.84,22,Old
2023-10-29,Toys,194.57,31.73,Regular,3207.39,22,Old
2023-10-30,Electronics,781.79,39.9,Occasional,6941.45,39,Old
2023-10-31,Toys,356.62,19.8,Occasional,2789.17,35,Old
2023-11-01,Home Decor,67.26,45.75,Premium,1987.04,41,Old
2023-11-02,Sports,969.41,26.65,Premium,1927.86,28,Old
2023-11-03,Electronics,884.95,7.9,Occasional,3486.87,27,Old
2023-11-04,Sports,928.47,34.79,Regular,4356.58,34,Old
2023-11-05,Toys,994.96,39.66,Regular,8326.4,39,Old
2023-11-06,Toys,182.16,15.84,Occasional,1286.92,36,Old
2023-11-07,Electronics,402.28,42.86,Premium,7375.77,18,Old
2023-11-08,Home Decor,760.66,45.31,Occasional,5361.4,29,Old
2023-11-09,Fashion,699.06,13.85,Occasional,2950.66,25,Old
2023-11-10,Electronics,162.36,49.18,Premium,4978.91,29,Old
2023-11-11,Fashion,817.67,7.04,Occasional,3069.43,17,Old
2023-11-12,Fashion,232.2,10.1,Occasional,6001.21,33,Old
2023-11-13,Home Decor,231.58,9.21,Occasional,4395.05,34,Old
2023-11-14,Fashion,541.6,44.7,Premium,1727.61,29,Old
2023-11-15,Fashion,597.01,32.71,Regular,1254.17,18,Old
2023-11-16,Home Decor,584.29,7.61,Regular,5512.29,18,Old
2023-11-17,Fashion,100.57,22.02,Premium,9033.89,22,Old
2023-11-18,Fashion,878.69,30.76,Regular,3505.18,14,Old
2023-11-19,Fashion,272.94,4.17,Occasional,7356.7,38,Old
2023-11-20,Electronics,138.22,44.12,Regular,6620.75,33,Old
2023-11-21,Electronics,889.86,40.18,Occasional,9322.39,29,Old
2023-11-22,Electronics,956.09,25.26,Regular,8227.71,27,Old
2023-11-23,Home Decor,863.51,48.36,Premium,5709.39,32,Old
2023-11-24,Toys,811.42,20.89,Regular,6604.6,31,Old
2023-11-25,Fashion,658.69,49.21,Regular,8994.03,30,Old
2023-11-26,Fashion,555.35,33.4,Regular,4055.24,38,Old
2023-11-27,Home Decor,96.12,31.73,Premium,3335.27,37,Old
2023-11-28,Fashion,414.37,8.3,Regular,207.03,46,Old
2023-11-29,Electronics,378.96,44.1,Premium,8282.86,24,Old
2023-11-30,Toys,267.16,21.37,Occasional,8029.71,23,Old
2023-12-01,Sports,726.19,8.11,Regular,1134.1,45,Old
2023-12-02,Fashion,500.92,0.63,Premium,5810.89,32,Old
2023-12-03,Electronics,90.24,27.99,Premium,4693.42,37,Old
2023-12-04,Sports,227.98,26.37,Regular,1275.22,36,Old
2023-12-05,Toys,686.43,35.97,Occasional,9807.63,32,Old
2023-12-06,Sports,85.37,44.51,Premium,2225.49,32,Old
2023-12-07,Electronics,852.69,3.97,Regular,765.62,21,Old
2023-12-08,Sports,500.2,36.57,Occasional,5988.99,23,Old
2023-12-09,Home Decor,485.78,9.37,Premium,7414.78,24,Old
2023-12-10,Sports,596.48,42.91,Premium,421.19,24,Old
2023-12-11,Fashion,826.43,40.95,Occasional,6621.3,23,Old
2023-12-12,Fashion,354.33,27.04,Occasional,5369.69,31,Old
2023-12-13,Home Decor,681.24,35.51,Regular,1122.32,30,Old
2023-12-14,Electronics,570.07,15.72,Regular,1807.99,16,Old
2023-12-15,Fashion,274.36,23.56,Premium,5722.95,38,Old
2023-12-16,Toys,879.84,41.08,Occasional,3033.94,21,Old
2023-12-17,Fashion,799.45,22.96,Occasional,9389.33,14,Old
2023-12-18,Fashion,661.87,17.89,Occasional,8205.53,33,Old
2023-12-19,Electronics,852.08,24.71,Premium,9837.32,36,Old
2023-12-20,Sports,868.62,41.41,Occasional,2670.74,31,Old
2023-12-21,Fashion,711.28,16.76,Occasional,9700.26,25,Old
2023-12-22,Home Decor,838.64,8.69,Premium,4369.22,47,Old
2023-12-23,Sports,700.5,35.6,Regular,3540.44,37,Old
2023-12-24,Toys,683.34,41.3,Regular,598.46,43,Old
2023-12-25,Electronics,622.43,5.03,Premium,622.38,43,Old
2023-12-26,Toys,755.19,11.99,Occasional,6950.91,31,Old
2023-12-27,Sports,167.02,7.1,Premium,4633.5,24,Old
2023-12-28,Sports,882.06,17.4,Regular,2342.56,28,Old
2023-12-29,Sports,873.13,22.52,Regular,6178.31,20,Old
2023-12-30,Toys,38.95,37.44,Premium,2603.3,33,Old
2023-12-31,Sports,827.56,32.56,Premium,5818.55,20,Old
2024-01-01,Toys,137.58,31.05,Regular,3656.17,28,Old
2024-01-02,Sports,341.77,17.62,Premium,8253.17,31,Old
2024-01-03,Home Decor,746.07,42.07,Regular,8224.89,32,Old
2024-01-04,Sports,169.15,23.56,Premium,4825.77,46,Old
2024-01-05,Toys,819.79,48.96,Premium,3573.11,25,Old
2024-01-06,Fashion,833.81,31.71,Premium,3689.34,29,Old
2024-01-07,Sports,512.39,6.31,Regular,8076.57,33,Old
2024-01-08,Fashion,16.32,33.81,Premium,3348.98,38,Old
2024-01-09,Home Decor,294.17,16.26,Regular,2169.69,24,Old
2024-01-10,Electronics,620.76,34.32,Regular,938.41,44,Old
2024-01-11,Home Decor,981.37,3.48,Premium,4720.26,14,Old
2024-01-12,Sports,635.5,8.74,Premium,4873.11,32,Old
2024-01-13,Fashion,267.21,42.79,Regular,8425.0,20,Old
2024-01-14,Fashion,637.67,11.36,Regular,2290.26,33,Old
2024-01-15,Toys,544.59,41.85,Occasional,3871.81,26,Old
2024-01-16,Fashion,782.05,13.96,Regular,8103.22,35,Old
2024-01-17,Toys,115.91,32.14,Occasional,8253.87,37,Old
2024-01-18,Electronics,763.42,34.71,Occasional,3907.65,27,Old
2024-01-19,Sports,545.85,25.63,Occasional,4645.33,23,Old
2024-01-20,Toys,963.36,15.27,Premium,3102.53,24,Old
2024-01-21,Electronics,348.45,10.63,Premium,9332.29,30,Old
2024-01-22,Fashion,636.3,1.66,Regular,1274.57,38,Old
2024-01-23,Fashion,932.71,15.2,Occasional,9344.12,34,Old
2024-01-24,Electronics,111.48,32.66,Premium,6870.28,40,Old
2024-01-25,Fashion,937.86,46.92,Premium,5362.56,18,Old
2024-01-26,Electronics,691.01,43.56,Premium,423.32,29,Old
2024-01-27,Toys,77.16,38.3,Premium,4808.4,42,Old
2024-01-28,Toys,307.95,39.42,Premium,4136.71,26,Old
2024-01-29,Electronics,711.09,33.25,Occasional,1696.07,18,Old
2024-01-30,Toys,76.68,13.01,Occasional,6598.46,24,Old
2024-01-31,Toys,586.35,45.36,Occasional,9714.39,27,Old
2024-02-01,Toys,352.42,33.54,Occasional,5665.67,19,Old
2024-02-02,Home Decor,624.71,28.02,Regular,7176.06,31,Old
2024-02-03,Sports,55.28,5.55,Occasional,777.66,24,Old
2024-02-04,Fashion,872.82,22.35,Premium,4234.9,28,Old
2024-02-05,Home Decor,973.75,23.02,Occasional,1251.95,24,Old
2024-02-06,Toys,969.19,43.23,Regular,6166.68,26,Old
2024-02-07,Electronics,752.16,27.33,Premium,9390.97,34,Old
2024-02-08,Toys,138.79,19.02,Occasional,6651.6,17,Old
2024-02-09,Sports,760.68,48.84,Occasional,860.35,26,Old
2024-02-10,Toys,34.34,5.54,Occasional,3611.2,26,Old
2024-02-11,Electronics,31.9,21.13,Premium,5551.57,36,Old
2024-02-12,Sports,330.37,2.1,Premium,4091.76,32,Old
