Date,Product_Category,Price,Discount,Customer_Segment,Marketing_Spend,Units_Sold
2023-07-13,Fashion,820.91,36.48,Regular,7629.7,26
2023-07-14,Sports,801.42,38.28,Premium,1629.47,38
2023-07-15,Home Decor,697.75,7.95,Occasional,4923.93,38
2023-07-16,Home Decor,279.42,30.51,Occasional,4356.85,26
2023-07-17,Electronics,594.33,6.77,Premium,6009.42,20
2023-07-18,Toys,367.36,37.57,Occasional,9995.62,38
2023-07-19,Sports,100.67,32.85,Premium,7717.54,33
2023-07-20,Fashion,918.14,47.83,Regular,4038.87,24
2023-07-21,Home Decor,145.45,3.45,Premium,8292.78,31
2023-07-22,Electronics,950.73,2.85,Regular,1790.01,32
2023-07-23,Electronics,451.55,14.11,Regular,401.59,24
2023-07-24,Sports,193.28,13.09,Occasional,2124.04,28
2023-07-25,Home Decor,546.48,12.35,Occasional,3470.07,41
2023-07-26,Toys,874.22,45.31,Occasional,5154.75,43
2023-07-27,Home Decor,734.9,12.48,Premium,6189.78,34
2023-07-28,Sports,808.5,13.6,Premium,9115.0,18
2023-07-29,Sports,662.2,37.97,Occasional,5147.55,27
2023-07-30,Home Decor,695.35,22.49,Premium,5062.63,37
2023-07-31,Sports,850.7,38.84,Occasional,597.41,33
2023-08-01,Home Decor,257.17,3.27,Premium,445.62,41
2023-08-02,Fashion,494.53,24.38,Regular,5556.48,30
2023-08-03,Home Decor,229.0,1.68,Regular,4437.97,35
2023-08-04,Home Decor,987.79,3.13,Occasional,8407.89,27
2023-08-05,Sports,944.62,45.32,Premium,1690.73,39
2023-08-06,Sports,49.03,6.96,Premium,347.22,33
2023-08-07,Electronics,708.52,26.62,Regular,4545.48,33
2023-08-08,Electronics,926.0,20.55,Regular,2451.04,29
2023-08-09,Fashion,188.77,17.37,Occasional,591.18,24
2023-08-10,Electronics,572.27,44.99,Regular,7273.52,29
2023-08-11,Home Decor,916.33,1.09,Occasional,1204.77,29
2023-08-12,Sports,43.61,33.19,Regular,6122.36,34
2023-08-13,Electronics,700.45,48.17,Regular,2882.39,30
2023-08-14,Electronics,304.38,28.01,Premium,1817.61,34
2023-08-15,Fashion,925.15,46.84,Regular,3859.54,38
2023-08-16,Fashion,971.35,2.61,Regular,8034.31,33
2023-08-17,Home Decor,944.82,20.94,Occasional,3981.73,23
2023-08-18,Sports,479.47,13.01,Regular,7532.62,29
2023-08-19,Fashion,863.42,36.54,Occasional,1342.31,34
2023-08-20,Electronics,846.1,49.06,Regular,7750.44,23
2023-08-21,Sports,325.91,12.83,Regular,2445.64,44
2023-08-22,Sports,830.63,32.71,Occasional,6806.19,23
2023-08-23,Electronics,46.64,9.9,Premium,5701.24,38
2023-08-24,Fashion,600.31,28.27,Occasional,9298.53,37
2023-08-25,Electronics,237.71,23.2,Occasional,3934.49,17
2023-08-26,Sports,129.36,48.6,Occasional,755.04,26
2023-08-27,Toys,86.18,30.43,Premium,289.64,37
2023-08-28,Toys,699.33,17.48,Regular,8285.9,21
2023-08-29,Home Decor,346.48,5.7,Occasional,5294.88,29
2023-08-30,Electronics,727.52,7.56,Occasional,7774.92,26
2023-08-31,Electronics,74.7,11.27,Premium,2420.81,29
2023-09-01,Home Decor,322.14,12.55,Occasional,3516.33,33
2023-09-02,Home Decor,544.1,42.53,Regular,398.03,29
2023-09-03,Home Decor,792.82,28.06,Premium,9618.77,31
2023-09-04,Sports,325.56,26.17,Regular,6711.89,30
2023-09-05,Electronics,629.63,5.74,Regular,9338.73,35
2023-09-06,Sports,887.12,43.01,Premium,2728.41,23
2023-09-07,Home Decor,619.7,36.14,Occasional,6153.49,30
2023-09-08,Electronics,240.63,3.38,Regular,6817.15,41
2023-09-09,Sports,34.16,35.39,Regular,3243.74,19
2023-09-10,Sports,871.4,27.18,Regular,8496.28,30
2023-09-11,Home Decor,31.06,4.09,Regular,9476.9,29
2023-09-12,Electronics,875.95,22.92,Premium,8860.07,40
2023-09-13,Home Decor,533.65,24.23,Premium,7416.76,30
2023-09-14,Electronics,939.68,8.29,Regular,2846.9,27
2023-09-15,Toys,800.8,47.28,Occasional,2888.0,23
2023-09-16,Fashion,997.95,42.5,Regular,9637.27,35
2023-09-17,Fashion,357.2,33.45,Occasional,201.82,35
2023-09-18,Fashion,769.52,23.11,Regular,7188.89,35
2023-09-19,Home Decor,407.91,20.59,Occasional,7091.84,5
2023-09-20,Toys,485.08,32.55,Regular,6264.63,27
2023-09-21,Electronics,631.23,27.27,Occasional,9902.08,28
2023-09-22,Sports,874.94,3.11,Regular,3187.61,14
2023-09-23,Electronics,984.24,25.63,Regular,3465.72,22
2023-09-24,Sports,770.59,40.32,Occasional,881.5,22
2023-09-25,Electronics,423.59,22.96,Premium,4483.7,31
2023-09-26,Toys,427.14,2.6,Occasional,2684.38,26
2023-09-27,Sports,740.21,39.31,Premium,3499.53,26
2023-09-28,Home Decor,246.39,10.07,Regular,8362.26,25
2023-09-29,Electronics,119.37,12.93,Occasional,9361.3,19
2023-09-30,Electronics,361.08,8.24,Occasional,1938.76,14
2023-10-01,Sports,294.37,16.51,Occasional,3787.84,31
2023-10-02,Home Decor,303.35,37.84,Premium,9293.44,32
2023-10-03,Home Decor,241.27,25.97,Premium,711.9,39
2023-10-04,Toys,51.67,10.24,Regular,1014.37,28
2023-10-05,Home Decor,27.7,43.89,Premium,1711.63,23
2023-10-06,Home Decor,987.85,43.98,Premium,5992.61,35
2023-10-07,Home Decor,433.5,43.53,Regular,1589.68,30
2023-10-08,Fashion,390.48,11.94,Occasional,9683.96,37
2023-10-09,Toys,682.85,22.56,Occasional,4522.47,36
2023-10-10,Electronics,226.07,49.25,Regular,5065.03,38
2023-10-11,Sports,950.46,38.6,Occasional,2541.92,30
2023-10-12,Electronics,788.48,1.36,Premium,4762.51,26
2023-10-13,Toys,98.52,3.26,Regular,6652.94,19
2023-10-14,Sports,423.4,23.2,Regular,7536.65,43
2023-10-15,Toys,880.33,45.46,Regular,7563.29,22
2023-10-16,Home Decor,945.28,26.94,Occasional,5821.12,35
2023-10-17,Sports,472.73,24.89,Regular,9053.16,37
2023-10-18,Home Decor,617.28,5.27,Regular,8192.34,36
2023-10-19,Electronics,175.36,32.84,Regular,7594.78,23
2023-10-20,Electronics,991.26,41.11,Occasional,650.49,15
2023-10-21,Sports,239.35,19.02,Premium,168.09,36
2023-10-22,Sports,943.3,38.78,Regular,2203.23,38
2023-10-23,Toys,653.15,48.22,Premium,6668.88,32
2023-10-24,Toys,611.66,10.19,Occasional,4170.86,26
2023-10-25,Home Decor,517.56,26.17,Occasional,4083.82,33
2023-10-26,Sports,238.36,14.36,Occasional,8857.41,29
2023-10-27,Electronics,184.76,39.64,Occasional,8966.07,34
2023-10-28,Toys,228.28,28.88,Premium,9100.84,22
2023-10-29,Toys,194.57,31.73,Regular,3207.39,22
2023-10-30,Electronics,781.79,39.9,Occasional,6941.45,39
2023-10-31,Toys,356.62,19.8,Occasional,2789.17,35
2023-11-01,Home Decor,67.26,45.75,Premium,1987.04,41
2023-11-02,Sports,969.41,26.65,Premium,1927.86,28
2023-11-03,Electronics,884.95,7.9,Occasional,3486.87,27
2023-11-04,Sports,928.47,34.79,Regular,4356.58,34
2023-11-05,Toys,994.96,39.66,Regular,8326.4,39
2023-11-06,Toys,182.16,15.84,Occasional,1286.92,36
2023-11-07,Electronics,402.28,42.86,Premium,7375.77,18
2023-11-08,Home Decor,760.66,45.31,Occasional,5361.4,29
2023-11-09,Fashion,699.06,13.85,Occasional,2950.66,25
2023-11-10,Electronics,162.36,49.18,Premium,4978.91,29
2023-11-11,Fashion,817.67,7.04,Occasional,3069.43,17
2023-11-12,Fashion,232.2,10.1,Occasional,6001.21,33
2023-11-13,Home Decor,231.58,9.21,Occasional,4395.05,34
2023-11-14,Fashion,541.6,44.7,Premium,1727.61,29
2023-11-15,Fashion,597.01,32.71,Regular,1254.17,18
2023-11-16,Home Decor,584.29,7.61,Regular,5512.29,18
2023-11-17,Fashion,100.57,22.02,Premium,9033.89,22
2023-11-18,Fashion,878.69,30.76,Regular,3505.18,14
2023-11-19,Fashion,272.94,4.17,Occasional,7356.7,38
2023-11-20,Electronics,138.22,44.12,Regular,6620.75,33
2023-11-21,Electronics,889.86,40.18,Occasional,9322.39,29
2023-11-22,Electronics,956.09,25.26,Regular,8227.71,27
2023-11-23,Home Decor,863.51,48.36,Premium,5709.39,32
2023-11-24,Toys,811.42,20.89,Regular,6604.6,31
2023-11-25,Fashion,658.69,49.21,Regular,8994.03,30
2023-11-26,Fashion,555.35,33.4,Regular,4055.24,38
2023-11-27,Home Decor,96.12,31.73,Premium,3335.27,37
2023-11-28,Fashion,414.37,8.3,Regular,207.03,46
2023-11-29,Electronics,378.96,44.1,Premium,8282.86,24
2023-11-30,Toys,267.16,21.37,Occasional,8029.71,23
2023-12-01,Sports,726.19,8.11,Regular,1134.1,45
2023-12-02,Fashion,500.92,0.63,Premium,5810.89,32
2023-12-03,Electronics,90.24,27.99,Premium,4693.42,37
2023-12-04,Sports,227.98,26.37,Regular,1275.22,36
2023-12-05,Toys,686.43,35.97,Occasional,9807.63,32
2023-12-06,Sports,85.37,44.51,Premium,2225.49,32
2023-12-07,Electronics,852.69,3.97,Regular,765.62,21
2023-12-08,Sports,500.2,36.57,Occasional,5988.99,23
2023-12-09,Home Decor,485.78,9.37,Premium,7414.78,24
2023-12-10,Sports,596.48,42.91,Premium,421.19,24
2023-12-11,Fashion,826.43,40.95,Occasional,6621.3,23
2023-12-12,Fashion,354.33,27.04,Occasional,5369.69,31
2023-12-13,Home Decor,681.24,35.51,Regular,1122.32,30
2023-12-14,Electronics,570.07,15.72,Regular,1807.99,16
2023-12-15,Fashion,274.36,23.56,Premium,5722.95,38
2023-12-16,Toys,879.84,41.08,Occasional,3033.94,21
2023-12-17,Fashion,799.45,22.96,Occasional,9389.33,14
2023-12-18,Fashion,661.87,17.89,Occasional,8205.53,33
2023-12-19,Electronics,852.08,24.71,Premium,9837.32,36
2023-12-20,Sports,868.62,41.41,Occasional,2670.74,31
2023-12-21,Fashion,711.28,16.76,Occasional,9700.26,25
2023-12-22,Home Decor,838.64,8.69,Premium,4369.22,47
2023-12-23,Sports,700.5,35.6,Regular,3540.44,37
2023-12-24,Toys,683.34,41.3,Regular,598.46,43
2023-12-25,Electronics,622.43,5.03,Premium,622.38,43
2023-12-26,Toys,755.19,11.99,Occasional,6950.91,31
2023-12-27,Sports,167.02,7.1,Premium,4633.5,24
2023-12-28,Sports,882.06,17.4,Regular,2342.56,28
2023-12-29,Sports,873.13,22.52,Regular,6178.31,20
2023-12-30,Toys,38.95,37.44,Premium,2603.3,33
2023-12-31,Sports,827.56,32.56,Premium,5818.55,20
2024-01-01,Toys,137.58,31.05,Regular,3656.17,28
2024-01-02,Sports,341.77,17.62,Premium,8253.17,31
2024-01-03,Home Decor,746.07,42.07,Regular,8224.89,32
2024-01-04,Sports,169.15,23.56,Premium,4825.77,46
2024-01-05,Toys,819.79,48.96,Premium,3573.11,25
2024-01-06,Fashion,833.81,31.71,Premium,3689.34,29
2024-01-07,Sports,512.39,6.31,Regular,8076.57,33
2024-01-08,Fashion,16.32,33.81,Premium,3348.98,38
2024-01-09,Home Decor,294.17,16.26,Regular,2169.69,24
2024-01-10,Electronics,620.76,34.32,Regular,938.41,44
2024-01-11,Home Decor,981.37,3.48,Premium,4720.26,14
2024-01-12,Sports,635.5,8.74,Premium,4873.11,32
2024-01-13,Fashion,267.21,42.79,Regular,8425.0,20
2024-01-14,Fashion,637.67,11.36,Regular,2290.26,33
2024-01-15,Toys,544.59,41.85,Occasional,3871.81,26
2024-01-16,Fashion,782.05,13.96,Regular,8103.22,35
2024-01-17,Toys,115.91,32.14,Occasional,8253.87,37
2024-01-18,Electronics,763.42,34.71,Occasional,3907.65,27
2024-01-19,Sports,545.85,25.63,Occasional,4645.33,23
2024-01-20,Toys,963.36,15.27,Premium,3102.53,24
2024-01-21,Electronics,348.45,10.63,Premium,9332.29,30
2024-01-22,Fashion,636.3,1.66,Regular,1274.57,38
2024-01-23,Fashion,932.71,15.2,Occasional,9344.12,34
2024-01-24,Electronics,111.48,32.66,Premium,6870.28,40
2024-01-25,Fashion,937.86,46.92,Premium,5362.56,18
2024-01-26,Electronics,691.01,43.56,Premium,423.32,29
2024-01-27,Toys,77.16,38.3,Premium,4808.4,42
2024-01-28,Toys,307.95,39.42,Premium,4136.71,26
2024-01-29,Electronics,711.09,33.25,Occasional,1696.07,18
2024-01-30,Toys,76.68,13.01,Occasional,6598.46,24
2024-01-31,Toys,586.35,45.36,Occasional,9714.39,27
2024-02-01,Toys,352.42,33.54,Occasional,5665.67,19
2024-02-02,Home Decor,624.71,28.02,Regular,7176.06,31
2024-02-03,Sports,55.28,5.55,Occasional,777.66,24
2024-02-04,Fashion,872.82,22.35,Premium,4234.9,28
2024-02-05,Home Decor,973.75,23.02,Occasional,1251.95,24
2024-02-06,Toys,969.19,43.23,Regular,6166.68,26
2024-02-07,Electronics,752.16,27.33,Premium,9390.97,34
2024-02-08,Toys,138.79,19.02,Occasional,6651.6,17
2024-02-09,Sports,760.68,48.84,Occasional,860.35,26
2024-02-10,Toys,34.34,5.54,Occasional,3611.2,26
2024-02-11,Electronics,31.9,21.13,Premium,5551.57,36
2024-02-12,Sports,330.37,2.1,Premium,4091.76,32
2024-02-13,Toys,493.76,37.0,Regular,8353.08,34
2024-02-14,Sports,772.7,45.9,Premium,8165.24,45
2024-02-15,Fashion,686.46,14.0,Premium,6157.13,22
2024-02-16,Fashion,451.44,42.92,Occasional,3797.23,31
2024-02-17,Toys,280.89,14.61,Premium,2627.83,32
2024-02-18,Sports,997.15,45.54,Occasional,1148.16,21
2024-02-19,Electronics,431.92,37.7,Occasional,3613.49,20
2024-02-20,Toys,456.87,40.25,Premium,4190.41,26
2024-02-21,Fashion,171.99,0.9,Regular,6790.65,26
2024-02-22,Fashion,796.86,48.14,Regular,6615.78,30
2024-02-23,Toys,696.75,36.33,Premium,794.07,33
2024-02-24,Sports,228.56,15.24,Regular,4013.07,36
2024-02-25,Fashion,91.56,41.47,Occasional,1899.61,19
2024-02-26,Sports,683.69,14.08,Occasional,1652.45,27
2024-02-27,Fashion,657.97,43.64,Premium,8290.29,31
2024-02-28,Fashion,280.53,5.63,Regular,514.96,28
2024-02-29,Home Decor,951.35,35.18,Regular,4249.91,20
2024-03-01,Fashion,159.55,27.03,Occasional,1765.22,35
2024-03-02,Electronics,438.01,4.83,Premium,8805.37,26
2024-03-03,Toys,944.18,12.09,Regular,5614.7,32
2024-03-04,Toys,425.53,0.62,Premium,2390.67,39
2024-03-05,Sports,642.14,23.44,Regular,5074.03,40
2024-03-06,Fashion,403.62,15.06,Occasional,7341.71,17
2024-03-07,Electronics,281.47,29.92,Occasional,9585.37,29
2024-03-08,Sports,984.14,14.86,Premium,2282.42,34
2024-03-09,Home Decor,415.24,15.0,Occasional,8873.2,35
2024-03-10,Sports,895.16,37.16,Regular,9349.61,14
2024-03-11,Sports,237.66,2.41,Occasional,9172.56,37
2024-03-12,Fashion,220.97,45.14,Premium,6390.6,20
2024-03-13,Home Decor,40.82,42.61,Premium,6335.22,15
2024-03-14,Sports,655.15,33.39,Premium,4091.79,26
2024-03-15,Electronics,374.84,29.66,Regular,7548.74,32
2024-03-16,Electronics,865.71,44.62,Regular,5359.81,40
2024-03-17,Toys,478.48,9.27,Regular,6806.64,26
2024-03-18,Home Decor,968.51,3.95,Regular,4341.73,25
2024-03-19,Home Decor,193.67,11.98,Regular,7341.81,33
2024-03-20,Toys,869.94,39.73,Occasional,8262.27,15
2024-03-21,Sports,778.83,1.73,Regular,1549.72,26
2024-03-22,Home Decor,773.21,29.14,Regular,8346.0,23
2024-03-23,Electronics,846.34,49.77,Occasional,5448.94,36
